pair_a,pair_b,scope,metric,value,envelope,zero_case,within
single_baseline_06,dual_baseline_12,5,normalized_max_abs,1.9802469273778571,1.9864851880660115,neither_zero,True
single_baseline_06,dual_baseline_12,5,cosine_error,0.004262369578486691,0.006145754620427768,neither_zero,True
single_baseline_06,dual_baseline_12,5,log_norm_ratio,3.997770277955973e-05,0.00010396011900955024,neither_zero,True
single_baseline_06,dual_baseline_12,6,relative_l2,0.11019864865008214,0.12145219557566955,neither_zero,True
single_baseline_06,dual_baseline_12,6,max_abs,0.005936202360317111,0.005959737114608288,neither_zero,True
single_baseline_06,dual_baseline_12,6,normalized_max_abs,1.9787755676685217,1.9866206500891914,neither_zero,True
single_baseline_06,dual_baseline_12,6,cosine_error,0.006072486581458425,0.007375358114384278,neither_zero,True
single_baseline_06,dual_baseline_12,6,log_norm_ratio,0.000102224252337163,0.0001067684111316779,neither_zero,True
single_baseline_06,dual_baseline_12,8,relative_l2,0.06475088806971606,0.10452082796646944,neither_zero,True
single_baseline_06,dual_baseline_12,8,max_abs,0.0058412919752299786,0.005964341107755899,neither_zero,True
single_baseline_06,dual_baseline_12,8,normalized_max_abs,1.9471279849067487,1.9881450082768717,neither_zero,True
single_baseline_06,dual_baseline_12,8,cosine_error,0.002096546230578311,0.005462305636124598,neither_zero,True
single_baseline_06,dual_baseline_12,8,log_norm_ratio,0.00010141961020010804,0.00011319355897037096,neither_zero,True
single_baseline_06,dual_baseline_12,9,relative_l2,0.08215594648924861,0.11375555232581419,neither_zero,True
single_baseline_06,dual_baseline_12,9,max_abs,0.00592023553326726,0.005957070272415876,neither_zero,True
single_baseline_06,dual_baseline_12,9,normalized_max_abs,1.97344873877551,1.9857270605934405,neither_zero,True
single_baseline_06,dual_baseline_12,9,cosine_error,0.003375088927304093,0.0064710255121182,neither_zero,True
single_baseline_06,dual_baseline_12,9,log_norm_ratio,8.6793102953553e-05,0.00018101471761390988,neither_zero,True
single_baseline_06,dual_baseline_12,10,relative_l2,0.10554889233523754,0.11462983090523451,neither_zero,True
