condition,phase,problem_id,token,logit_relative_l2,logit_cosine,logit_top1_match,logit_top20_overlap,logit_nonfinite,state_relative_l2,state_max_abs,state_cosine,state_nonfinite
identity,primary,60,76,0.0,0.9999998807907104,1.0,1.0,0,0.0,0.0,1.000028371810913,0
identity,primary,60,77,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000242590904236,0
identity,primary,60,78,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000252723693848,0
identity,primary,60,79,0.0,0.9999998807907104,1.0,1.0,0,0.0,0.0,1.000030755996704,0
identity,primary,60,80,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000298023223877,0
identity,primary,60,81,0.0,0.9999999403953552,1.0,1.0,0,0.0,0.0,1.0000308752059937,0
identity,primary,60,82,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000243186950684,0
identity,primary,60,83,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000247359275818,0
identity,primary,60,84,0.0,1.0,1.0,1.0,0,0.0,0.0,1.000022053718567,0
identity,primary,60,85,0.0,1.0,1.0,1.0,0,0.0,0.0,1.000019609928131,0
identity,primary,60,86,0.0,0.9999999403953552,1.0,1.0,0,0.0,0.0,1.0000272393226624,0
identity,primary,60,87,0.0,1.0,1.0,1.0,0,0.0,0.0,1.000027596950531,0
identity,primary,60,88,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000249743461609,0
identity,primary,60,89,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000256299972534,0
identity,primary,60,90,0.0,0.9999999403953552,1.0,1.0,0,0.0,0.0,1.0000261664390564,0
identity,primary,60,91,0.0,1.0,1.0,1.0,0,0.0,0.0,1.000024676322937,0
identity,primary,60,92,0.0,1.0000001192092896,1.0,1.0,0,0.0,0.0,1.0000250935554504,0
identity,primary,60,93,0.0,0.9999998807907104,1.0,1.0,0,0.0,0.0,1.0000276565551758,0
identity,primary,60,94,0.0,1.0000001192092896,1.0,1.0,0,0.0,0.0,1.000026524066925,0
identity,primary,60,95,0.0,1.0000001192092896,1.0,1.0,0,0.0,0.0,1.0000295639038086,0
identity,primary,60,96,0.0,1.000000238418579,1.0,1.0,0,0.0,0.0,1.0000242590904236,0
identity,primary,60,97,0.0,1.0000001192092896,1.0,1.0,0,0.0,0.0,1.0000251531600952,0
identity,primary,60,98,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000317692756653,0
identity,primary,60,99,0.0,1.0000001192092896,1.0,1.0,0,0.0,0.0,1.0000303387641907,0
identity,primary,60,100,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000267624855042,0
identity,primary,60,101,0.0,1.0,1.0,1.0,0,0.0,0.0,1.000025749206543,0
identity,primary,60,102,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000262260437012,0
identity,primary,60,103,0.0,0.9999999403953552,1.0,1.0,0,0.0,0.0,1.0000261664390564,0
identity,primary,60,104,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000264048576355,0
identity,primary,60,105,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000265836715698,0
identity,primary,60,106,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000268816947937,0
identity,primary,60,107,0.0,1.0000001192092896,1.0,1.0,0,0.0,0.0,1.0000261664390564,0
identity,primary,60,108,0.0,1.0000001192092896,1.0,1.0,0,0.0,0.0,1.000030517578125,0
identity,primary,60,109,0.0,1.0,1.0,1.0,0,0.0,0.0,1.000033676624298,0
identity,primary,60,110,0.0,0.9999998807907104,1.0,1.0,0,0.0,0.0,1.0000331401824951,0
identity,primary,60,111,0.0,0.9999997615814209,1.0,1.0,0,0.0,0.0,1.0000319480895996,0
identity,primary,60,112,0.0,0.9999999403953552,1.0,1.0,0,0.0,0.0,1.000027596950531,0
identity,primary,60,113,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000296235084534,0
identity,primary,60,114,0.0,0.9999999403953552,1.0,1.0,0,0.0,0.0,1.0000272989273071,0
identity,primary,60,115,0.0,1.0,1.0,1.0,0,0.0,0.0,1.000028908252716,0
identity,primary,60,116,0.0,1.0000001192092896,1.0,1.0,0,0.0,0.0,1.0000245571136475,0
identity,primary,60,117,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000226497650146,0
identity,primary,60,118,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000253319740295,0
identity,primary,60,119,0.0,1.0000001192092896,1.0,1.0,0,0.0,0.0,1.0000256896018982,0
identity,primary,60,120,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000349283218384,0
identity,primary,60,121,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000338554382324,0
identity,primary,60,122,0.0,0.9999999403953552,1.0,1.0,0,0.0,0.0,1.0000328421592712,0
identity,primary,60,123,0.0,1.0000001192092896,1.0,1.0,0,0.0,0.0,1.000025987625122,0
identity,primary,60,124,0.0,0.9999998807907104,1.0,1.0,0,0.0,0.0,1.0000228881835938,0
identity,primary,60,125,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000241994857788,0
identity,primary,60,126,0.0,1.0000001192092896,1.0,1.0,0,0.0,0.0,1.000031292438507,0
identity,primary,60,127,0.0,1.0,1.0,1.0,0,0.0,0.0,1.000025987625122,0
identity,primary,60,128,0.0,1.0000001192092896,1.0,1.0,0,0.0,0.0,1.000030279159546,0
identity,primary,61,0,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000262260437012,0
identity,primary,61,1,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000287294387817,0
identity,primary,61,2,0.0,1.0,1.0,1.0,0,0.0,0.0,1.0000265836715698,0
identity,primary,61,3,0.0,0.9999999403953552,1.0,1.0,0,0.0,0.0,1.0000270009040833,0
identity,primary,61,4,0.0,0.9999998807907104,1.0,1.0,0,0.0,0.0,1.0000317096710205,0
identity,primary,61,5,0.0,1.0000001192092896,1.0,1.0,0,0.0,0.0,1.0000281929969788,0
identity,primary,61,6,0.0,1.0000001192092896,1.0,1.0,0,0.0,0.0,1.000025749206543,0
