condition,layer_id,input_rel_l2,rotation_rel_l2,core_rel_l2,post_norm_rel_l2,post_gate_rel_l2,out_proj_rel_l2
r1,1,0.00349813187494874,0.004657565616071224,0.005425544921308756,0.0062110768631100655,0.0017686334904283285,0.004889430478215218
r1,10,0.0292582456022501,0.032150570303201675,0.03247656300663948,0.03801728039979935,0.00931998435407877,0.04740995168685913
r1,12,0.029604367911815643,0.039883557707071304,0.05010870844125748,0.06093497946858406,0.00914045237004757,0.06079854816198349
r1,13,0.18220578134059906,0.11166547238826752,0.150656595826149,0.2242843508720398,0.06038395315408707,0.24434684216976166
r1,14,0.1694045215845108,0.05088399350643158,0.09968961775302887,0.11634920537471771,0.065491683781147,0.12046834081411362
r1,16,0.19846570491790771,0.10116014629602432,0.1765960156917572,0.21932478249073029,0.08557288348674774,0.19103524088859558
r1,17,0.1979237049818039,0.1094794049859047,0.16296061873435974,0.24535199999809265,0.08267789334058762,0.24603310227394104
r1,18,0.20865964889526367,0.0835060402750969,0.11682669818401337,0.16494104266166687,0.07364337146282196,0.17036950588226318
r1,2,0.0068435063585639,0.00607005599886179,0.005044440273195505,0.005900204181671143,0.0029905647970736027,0.00607781857252121
r1,20,0.20271295309066772,0.06479088962078094,0.1495092809200287,0.18056663870811462,0.07889281213283539,0.21544498205184937
r1,21,0.2027868777513504,0.0998699888586998,0.1279352754354477,0.1865556389093399,0.05327722430229187,0.18494974076747894
r1,22,0.19841015338897705,0.08111758530139923,0.10469633340835571,0.1304585486650467,0.052058879286050797,0.14217343926429749
r1,4,0.012712281197309494,0.009259033016860485,0.009782818146049976,0.010755281895399094,0.005075361579656601,0.013452467508614063
r1,5,0.013180363923311234,0.01105520036071539,0.009542361833155155,0.012572397477924824,0.004708784632384777,0.0167335644364357
r1,6,0.013678249903023243,0.02487182430922985,0.032042499631643295,0.03494561091065407,0.005096144508570433,0.04473580792546272
r1,8,0.02786908484995365,0.02826121635735035,0.06768885999917984,0.03945675119757652,0.01006152480840683,0.046027787029743195
r1,9,0.02808731235563755,0.03961057588458061,0.036454033106565475,0.04865170270204544,0.010158363729715347,0.050651565194129944
r2,0,0.0,0.001656627282500267,0.0024898708797991276,0.0029485421255230904,0.0,0.002939576981589198
r2,1,0.003793522948399186,0.005112944636493921,0.005352754145860672,0.005685676354914904,0.001760715851560235,0.004418265074491501
r2,10,0.01957353949546814,0.009862684644758701,0.040562454611063004,0.02852933667600155,0.006730589549988508,0.03364754840731621
r2,12,0.024218274280428886,0.01969967782497406,0.03857152536511421,0.04921203479170799,0.009089128114283085,0.0505002997815609
r2,13,0.02492826245725155,0.022456998005509377,0.05027499049901962,0.05752518028020859,0.007414247840642929,0.06097947806119919
r2,14,0.029025448486208916,0.018687494099140167,0.03758526220917702,0.03533872216939926,0.009781189262866974,0.03796152397990227
r2,16,0.030594337731599808,0.03382667154073715,0.0479789562523365,0.043620359152555466,0.01022945623844862,0.04201298579573631
r2,17,0.031354326754808426,0.05950508266687393,0.07574956864118576,0.05715659633278847,0.012354215607047081,0.058010321110486984
r2,18,0.03536985069513321,0.029741695150732994,0.04587651416659355,0.05685914307832718,0.012216287665069103,0.059119824320077896
r2,2,0.007059578318148851,0.005093544255942106,0.00498637929558754,0.006328999530524015,0.003008259693160653,0.007509332150220871
r2,20,0.03616030514240265,0.022616997361183167,0.0492926687002182,0.048211924731731415,0.014592597261071205,0.059638965874910355
r2,21,0.039211153984069824,0.03230515867471695,0.047565851360559464,0.05511985346674919,0.010011687874794006,0.05786532163619995
r2,22,0.0387175977230072,0.03441667556762695,0.04347829148173332,0.04915519058704376,0.00920157227665186,0.050547000020742416
r2,4,0.012040632776916027,0.00847622286528349,0.011722009629011154,0.012484629638493061,0.005532692186534405,0.014853074215352535
r2,5,0.013429498299956322,0.009908722713589668,0.011241872794926167,0.014484003186225891,0.004669494461268187,0.01853819191455841
r2,6,0.014678959734737873,0.009946011006832123,0.02216571383178234,0.01673087477684021,0.005240621045231819,0.019290000200271606
r2,8,0.018334710970520973,0.012668991461396217,0.03934551402926445,0.025107886642217636,0.006581020075827837,0.02955578826367855
r2,9,0.019171981140971184,0.01598965935409069,0.02505655400454998,0.02982296422123909,0.0072734360583126545,0.029235832393169403
